Frame,Time (ns),Radius of Gyration
1,80.011998,33.302032867623744
2,80.03199599999999,33.28491913910067
3,80.05199400000001,33.252914686745044
4,80.071992,33.36075993892382
5,80.09199000000001,33.29742005213248
6,80.111988,33.30483045197258
7,80.131986,33.286483732918256
8,80.151984,33.268019932591486
9,80.171982,33.44884249990721
10,80.19198,33.39222671211009
11,80.211978,33.435265786915984
12,80.23197599999999,33.42021605504142
13,80.251974,33.30338919187896
14,80.271972,33.170432832535376
15,80.29197,33.123447030280964
16,80.31196800000001,33.291071359049354
17,80.331966,33.37832220670948
18,80.35196400000001,33.336888056292224
19,80.371962,33.36656571410475
20,80.39196000000001,33.20866654312729
21,80.411958,33.20646548656701
22,80.431956,33.27097617660647
23,80.451954,33.2883978843895
24,80.471952,33.27891567497745
25,80.49195,33.27460718722259
26,80.511948,33.277718582891346
27,80.53194599999999,33.24405862872528
28,80.551944,33.338558488365685
29,80.57194199999999,33.10661702609885
30,80.59194000000001,33.22530431016434
31,80.611938,33.24906369159273
32,80.631936,33.264143856142304
33,80.65193400000001,33.33826023675131
34,80.671932,33.34677769778273
35,80.69193000000001,33.22208725148254
36,80.711928,33.204577919728045
37,80.731926,33.373819363911934
38,80.751924,33.23906181402038
39,80.771922,33.2493981744277
40,80.79192,33.26152298874365
41,80.811918,33.269223665397945
42,80.83191599999999,33.237588833001766
43,80.85191400000001,33.156232694665185
44,80.871912,33.17639244684519
45,80.89191000000001,33.167715696225535
46,80.911908,33.18847986393672
47,80.931906,33.266573519723494
48,80.951904,33.159832151837875
49,80.971902,33.21168186807091
50,80.99190000000002,33.17307878896925
51,81.011898,33.31431673976502
52,81.031896,33.20959899763702
53,81.051894,33.23745030776157
54,81.071892,33.18643995433711
55,81.09189,33.38173870519165
56,81.11188800000001,33.55479280270553
57,81.131886,33.59017568610626
58,81.15188400000001,33.602854055781734
59,81.171882,33.7429290524545
60,81.19188,33.78850696105159
61,81.211878,33.61146506333533
62,81.231876,33.45513557007623
63,81.251874,33.49255145620203
64,81.271872,33.39797944955874
65,81.29186999999999,33.51238037836634
66,81.311868,33.360046110847776
67,81.33186599999999,33.59787078131049
68,81.351864,33.672611257207215
69,81.37186200000001,33.508453614855426
70,81.39186,33.605256778234796
71,81.41185800000001,33.41991683625534
72,81.431856,33.38975722412604
73,81.45185400000001,33.32354648808785
74,81.471852,33.472911337027725
75,81.49185,33.45672061622688
76,81.511848,33.42524120881144
77,81.531846,33.305532420050724
78,81.551844,33.426756157820584
79,81.571842,33.36721995920381
80,81.59183999999999,33.30451885196633
81,81.611838,33.41018941205358
82,81.63183599999999,33.51151836258177
83,81.65183400000001,33.414171187937455
84,81.671832,33.35096848412838
85,81.69183,33.29616119785453
86,81.71182800000001,33.319959810724605
87,81.731826,33.39010111790705
88,81.75182400000001,33.573536216816905
89,81.771822,33.557703159322216
90,81.79182,33.65492758917713
91,81.811818,33.60751604271788
92,81.831816,33.64803908011717
93,81.851814,33.69666289273377
94,81.871812,33.71936800202813
95,81.89180999999999,33.791261124235255
96,81.91180800000001,33.81997629074156
97,81.931806,33.87367302527044
98,81.95180400000001,33.77653409074609
99,81.971802,33.76316505113648
100,81.9918,33.74902033242367
101,82.011798,33.620368438224766
102,82.031796,33.5825902821082
103,82.05179400000002,33.46348534676122
104,82.071792,33.3703380499739
105,82.09179,33.45494588760284
106,82.111788,33.46653110706264
107,82.131786,33.57872323228594
108,82.151784,33.456255190043876
109,82.17178200000001,33.58612545321327
110,82.19178,33.476525489442
111,82.21177800000001,33.42437152942283
112,82.231776,33.641175705010106
113,82.25177400000001,33.473459833348244
114,82.271772,33.42891966154288
115,82.29177,33.44560976069835
116,82.311768,33.4942587467872
117,82.331766,33.381538966987996
118,82.35176399999999,33.392218696897345
119,82.371762,33.412355425607466
120,82.39175999999999,33.269097028209394
121,82.411758,33.40981368226587
122,82.43175600000001,33.388137753750264
123,82.451754,33.38951989199971
124,82.47175200000001,33.38961351216565
125,82.49175,33.2587426312201
126,82.51174800000001,33.43274386194546
127,82.531746,33.27012904008596
128,82.551744,33.36686893885779
129,82.571742,33.38108150124117
130,82.59174,33.551984651000815
131,82.611738,33.544224822178336
132,82.631736,33.5337793031097
133,82.65173399999999,33.54577850273098
134,82.671732,33.23665473861835
135,82.69172999999999,33.44514120237827
136,82.71172800000001,33.21729632391055
137,82.731726,33.367157036036005
138,82.751724,33.390422451150364
139,82.77172200000001,33.473790801317044
140,82.79172,33.40471651858945
141,82.81171800000001,33.139552468486166
142,82.831716,33.361373389998136
143,82.851714,33.33104750355697
144,82.871712,33.37802281539943
145,82.89171,33.21580409085606
146,82.911708,33.25349826611893
147,82.931706,33.167003319741994
148,82.95170399999999,33.35807536065499
