Frame,Time (ns),Solvent accessible surface area
1,0.0,27330.237743546913
2,0.019998000000000002,28097.636033643594
3,0.039996000000000004,27878.75129014743
4,0.059994,27872.952889247394
5,0.07999200000000001,27653.73713026043
6,0.09999000000000001,27916.383510209995
7,0.119988,27818.255989014648
8,0.139986,28034.371341343824
9,0.15998400000000002,28218.079364985908
10,0.179982,28045.37067743038
11,0.19998000000000002,28038.53255269991
12,0.219978,28434.441223578415
13,0.239976,28395.985558497545
14,0.259974,28539.46714399892
15,0.279972,28487.163529911984
16,0.29997,28653.08834663602
17,0.31996800000000003,28666.781762545495
18,0.339966,28711.95139876293
19,0.359964,29065.10121592038
20,0.37996199999999997,29140.995519450473
21,0.39996000000000004,28778.387558553455
22,0.41995800000000005,28749.94125931031
23,0.439956,28759.952605191575
24,0.45995400000000003,28739.680937657515
25,0.479952,28813.043012775328
26,0.49995,28548.910101308662
27,0.519948,29066.3120881143
28,0.539946,28705.585613176154
29,0.559944,28435.363606526513
30,0.579942,28584.871943640635
31,0.59994,28557.303531292288
32,0.619938,28598.804441747747
33,0.6399360000000001,28309.810764105332
34,0.659934,29056.392744194585
35,0.679932,28964.225638317053
36,0.69993,28915.819269343174
37,0.719928,28906.13893348736
38,0.7399260000000001,28771.018115581082
39,0.7599239999999999,28827.46788075021
40,0.779922,28398.44217690188
41,0.7999200000000001,28803.78868604046
42,0.819918,28807.0303853128
43,0.8399160000000001,29042.27783200837
44,0.859914,28837.216736410162
45,0.879912,28874.121549191746
46,0.89991,28949.999937647597
47,0.9199080000000001,29045.847332595604
48,0.939906,28916.994835549616
49,0.959904,28833.13478037897
50,0.979902,28484.647596221108
51,0.9999,28659.253516321307
52,1.019898,28787.751988647426
53,1.039896,28664.046732153318
54,1.0598940000000001,28544.640625358887
55,1.079892,28857.42651815331
56,1.09989,29018.641736327107
57,1.119888,28972.94082572324
58,1.139886,28764.14885046334
59,1.159884,28511.14635559712
60,1.179882,28518.953416710483
61,1.19988,28736.671603344832
62,1.219878,29171.667544535645
63,1.239876,29144.441339518486
64,1.259874,29239.88418859467
65,1.2798720000000001,28987.557599322423
66,1.29987,28835.20131097384
67,1.319868,29087.518041097257
68,1.339866,28850.13751952326
69,1.359864,29296.28515807478
70,1.3798620000000001,28906.185997373424
71,1.39986,28690.471484298345
72,1.4198579999999998,28813.598948878458
73,1.439856,28708.568872626787
74,1.459854,28568.733751891155
75,1.4798520000000002,28622.861274432304
76,1.4998500000000001,28757.100340826328
77,1.5198479999999999,28937.46834392138
78,1.539846,28730.058883093032
79,1.559844,28652.70107978967
80,1.5798420000000002,29235.436099483886
81,1.5998400000000002,29024.713647137905
82,1.619838,29044.500522781495
83,1.639836,29265.54603454517
84,1.659834,29047.963231590933
85,1.6798320000000002,29014.28308429107
86,1.69983,28994.149182347406
87,1.719828,29100.89131028334
88,1.739826,28691.52211972668
89,1.759824,29136.465242628827
90,1.779822,29247.002378852503
91,1.79982,29086.07791894577
92,1.819818,29059.93460593224
93,1.8398160000000001,29187.49292569279
94,1.859814,29036.61123141597
95,1.879812,28823.273950633476
96,1.89981,29140.466853713744
97,1.919808,29098.519697016367
98,1.9398060000000001,28903.171284290467
99,1.959804,28708.842082098923
100,1.979802,29007.34795536958
101,1.9998,28788.243052008198
102,2.019798,28964.094882363657
103,2.039796,28876.166096663925
